city_id,voivodeship_Id,name,total,legitimate,illegitimate,still_births,population,area
1,10,Białystok,3069,2499,552,18,293413,102
2,12,Bielsko-Biała,1395,933,458,4,168106,124
3,2,Bydgoszcz,2789,1835,947,7,334026,176
4,12,Bytom,1256,768,484,4,151691,69
5,12,Chorzów,863,497,362,4,103229,33
6,12,Częstochowa,1420,1068,345,7,210773,160
7,12,Dąbrowa Górnicza,775,525,245,5,115955,189
8,14,Elbląg,760,461,295,4,114401,80
9,11,Gdańsk,5174,3603,1558,13,486271,266
10,11,Gdynia,1993,1368,619,6,244676,135
11,12,Gliwice,1370,980,388,2,172628,134
12,4,Gorzów Wielkopolski,892,487,404,1,118011,86
13,12,Katowice,2289,1587,696,6,282755,165
14,13,Kielce,1509,1155,350,4,185478,110
15,16,Koszalin,894,491,400,3,104891,98
16,6,Kraków,8695,7070,1601,24,802583,327
17,3,Lublin,3276,2583,680,13,332852,148
18,14,Olsztyn,1448,920,523,5,1863056,517
19,8,Opole,1108,759,347,2,169251,88
20,15,Poznań,5549,3728,1794,27,126775,149
21,7,Płock,842,550,290,2,545073,262
22,7,Radom,1632,1206,421,5,113660,88
23,12,Ruda Śląska,1102,754,347,1,199904,112
24,12,Rybnik,1086,851,231,4,132766,78
25,9,Rzeszów,2096,1746,341,9,132923,148
26,12,Sosnowiec,1296,816,475,5,196374,129
27,16,Szczecin,3433,2091,1332,10,191676,91
28,6,Tarnów,729,594,133,2,394482,301
29,2,Toruń,1684,1125,556,3,105014,72
30,12,Tychy,952,699,251,2,197112,116
31,7,Warszawa,19810,14758,4998,54,124139,82
32,1,Wałbrzych,627,265,360,2,103263,85
33,1,Wrocław,7177,4986,2161,30,674312,293
34,2,Włocławek,778,447,325,6,103535,85
35,12,Zabrze,1196,731,459,6,156935,80
36,4,Zielona Góra,1273,748,521,4,139667,278
37,5,Łódź,5454,3342,2087,25,664860,293
