voivodeship_id,name,total,legitimate,illegitimate,still_births
1,Dolnośląskie,24527,15738,8693,96
2,Kujawsko-pomorskie,16779,11054,5655,70
3,Lubelskie,16694,13420,3221,53
4,Lubuskie,7953,4546,3379,28
5,Łódzkie,19636,13565,6002,69
6,Małopolskie,33396,28376,4909,111
7,Mazowieckie,54123,41260,12678,185
8,Opolskie,7318,5305,1980,33
9,Podkarpackie,17991,15319,2610,62
10,Podlaskie,10154,8290,1822,42
11,Pomorskie,23426,16118,7217,91
12,Śląskie,34864,25763,8973,128
13,Świętokrzyskie,8747,6819,1898,30
14,Warmińsko-mazurskie,10586,6643,3896,47
15,Wielkopolskie,33640,23473,10039,128
16,Zachodniopomorskie,12897,7315,5535,47
