city_id,voivodeship_Id,name,total,legitimate,illegitimate,still_births,population,area
1,7,Warszawa,19810,14758,4998,54,1863056,517
2,10,Białystok,3069,2499,552,18,293413,102
3,12,Bielsko-Biała,1395,933,458,4,,
4,2,Bydgoszcz,2789,1835,947,7,,
5,12,Bytom,1256,768,484,4,,
6,12,Chorzów,863,497,362,4,,
7,12,Częstochowa,1420,1068,345,7,,
8,12,Dąbrowa Górnicza,775,525,245,5,,
9,14,Elbląg,760,461,295,4,,
10,11,Gdańsk,5174,3603,1558,13,,
11,11,Gdynia,1993,1368,619,6,,
12,12,Gliwice,1370,980,388,2,,
13,4,Gorzów Wielkopolski,892,487,404,1,,
14,12,Katowice,2289,1587,696,6,,
15,13,Kielce,1509,1155,350,4,,
16,16,Koszalin,894,491,400,3,,
17,6,Kraków,8695,7070,1601,24,,
18,3,Lublin,3276,2583,680,13,,
19,5,Łódź,5454,3342,2087,25,,
20,14,Olsztyn,1448,920,523,5,,
21,8,Opole,1108,759,347,2,,
22,7,Płock,842,550,290,2,,
23,15,Poznań,5549,3728,1794,27,,
24,7,Radom,1632,1206,421,5,,
25,12,Ruda Śląska,1102,754,347,1,,
26,12,Rybnik,1086,851,231,4,,
27,9,Rzeszów,2096,1746,341,9,,
28,12,Sosnowiec,1296,816,475,5,,
29,16,Szczecin,3433,2091,1332,10,,
30,6,Tarnów,729,594,133,2,,
31,2,Toruń,1684,1125,556,3,,
32,12,Tychy,952,699,251,2,,
33,1,Wałbrzych,627,265,360,2,,
34,2,Włocławek,778,447,325,6,,
35,1,Wrocław,7177,4986,2161,30,,
36,12,Zabrze,1196,731,459,6,,
37,4,Zielona Góra,1273,748,521,4,,
